Author,Reference,Highlight,Publishing date,Year,Cell,Wafer doping,Wafer type,Wafer initial surface,Resitivity,Thickness,Junction location,Rear texture,Front texture,Protection layer,Texturing process,Protection layer removal,Cleaning,Emitter type,Sheet resistance,Emitter process,BSF Sheet resistance,BSF type,BSF process,Annealing temperature ©,Annealing time (min),Passivation front,Passivation front process,interconnection,Inter-layer,Inter-layer thicknes,Inter-layer process,Inter-layer process temperature,Annealing temperature ©,Annealing time (min),Clean before perovskite,Photolithography,Oxidation time,Oxidation temperature,Surface removal,Surface removal process,Rear passivation,Rear local contact,Rear passivation process,Rear metal,Rear electrode,Rear TCO thickness,Rear metal thickness,Rear metal order,Rear metal process,Annealing temperature,Annealing time,Surface removal,Surface removal process,Perovskite polarity,ETL,HTL,Cell isolation,Substrate area,Cell area,Cell active area,Buffer layer,Front electrode,Front metal,Front TCO,Front TCO thickness,Total front TCO thickness,Front TCO process,Front metal thickness [nm],Grid,Finger width [um],Finger spacing [mm],Front metal process,Scan direction,Bandgap,Voc tandem,Jsc tandem,FF tandem,n tandem,Jsc silicon,Jsc perovskite,Certified,Stability conditions,Stability result,Damp heat,Voc silicon,FF silicon,n silicon,Jsc silicon cell,Obs,
Werner et al.,https://pubs.acs.org/doi/pdf/10.1021/acs.jpclett.5b02686,Area > 1 cm2 - ARF,19/12/2015,2015,SHJ,n-type,FZ,DSP,01-May,260 - 300,Front,Planar,Planar,-,-,-,,Si(p),,PECVD,,Si(n),PECVD,,,a-Si:H(i),PECVD,recombination,IZO,Not clear,sputtering,25,,,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,Not clear,,Not clear,Not clear,Not clear,Not clear,,,n-i-p,PCBM/PEIE,Spiro-OMeTAD,,-,-,1.22,MoOx,IO:H/ITO/Au,Au,IO:H/ITO,100/10,110,,100,No,400,4.5,thermal evaporation,Forward,,1703,16.1,70.9,19.5,16.8,17.4,No,,,,704,74.4,16.8,32.1,,
Werner et al.,https://pubs.acs.org/doi/pdf/10.1021/acs.jpclett.5b02686,Area > 1 cm2 - ARF,19/12/2015,2015,SHJ,n-type,FZ,DSP,01-May,260 - 300,Front,Planar,Planar,-,-,-,,Si(p),,PECVD,,Si(n),PECVD,,,a-Si:H(i),PECVD,recombination,IZO,Not clear,sputtering,25,,,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,Not clear,,Not clear,Not clear,Not clear,Not clear,,,n-i-p,PCBM/PEIE,Spiro-OMeTAD,,-,-,1.22,MoOx,IO:H/ITO/Au,Au,IO:H/ITO,100/10,110,,100,No,400,4.5,thermal evaporation,Tracking,,,,,19.2,16.8,17.4,No,,,,704,74.4,16.8,32.1,,
Werner et al.,https://pubs.acs.org/doi/pdf/10.1021/acs.jpclett.5b02686,Area > 1 cm2,19/12/2015,2015,SHJ,n-type,FZ,DSP,01-May,260 - 300,Front,Planar,Planar,-,-,-,,Si(p),,PECVD,,Si(n),PECVD,,,a-Si:H(i),PECVD,recombination,IZO,Not clear,sputtering,25,,,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,Not clear,,Not clear,Not clear,Not clear,Not clear,,,n-i-p,PCBM/PEIE,Spiro-OMeTAD,,-,-,0.17,MoOx,IO:H/ITO/Au,Au,IO:H/ITO,100/10,110,,100,Yes,0,0,thermal evaporation,Reverse,,1668,13.6,76.7,17.4,,,No,,,,,,,,,
Werner et al.,https://pubs.acs.org/doi/pdf/10.1021/acs.jpclett.5b02686,Area > 1 cm2,19/12/2015,2015,SHJ,n-type,FZ,DSP,01-May,260 - 300,Front,Planar,Planar,-,-,-,,Si(p),,PECVD,,Si(n),PECVD,,,a-Si:H(i),PECVD,recombination,IZO,Not clear,sputtering,25,,,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,Not clear,,Not clear,Not clear,Not clear,Not clear,,,n-i-p,PCBM/PEIE,Spiro-OMeTAD,,-,-,0.17,MoOx,IO:H/ITO/Au,Au,IO:H/ITO,100/10,110,,100,Yes,0,0,thermal evaporation,Forward,,1670,13.8,78.6,18.1,,,No,,,,,,,,,
Werner et al.,https://pubs.acs.org/doi/pdf/10.1021/acs.jpclett.5b02686,Area > 1 cm2 - ARF,19/12/2015,2015,SHJ,n-type,FZ,DSP,01-May,260 - 300,Front,Planar,Planar,-,-,-,,Si(p),,PECVD,,Si(n),PECVD,,,a-Si:H(i),PECVD,recombination,IZO,Not clear,sputtering,25,,,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,Not clear,,Not clear,Not clear,Not clear,Not clear,,,n-i-p,PCBM/PEIE,Spiro-OMeTAD,,-,-,0.17,MoOx,IO:H/ITO/Au,Au,IO:H/ITO,100/10,110,,100,Yes,0,0,thermal evaporation,Reverse,,1690,15.9,77.6,20.9,,,No,,,,,,,,,
Werner et al.,https://pubs.acs.org/doi/pdf/10.1021/acs.jpclett.5b02686,Area > 1 cm2 - ARF,19/12/2015,2015,SHJ,n-type,FZ,DSP,01-May,260 - 300,Front,Planar,Planar,-,-,-,,Si(p),,PECVD,,Si(n),PECVD,,,a-Si:H(i),PECVD,recombination,IZO,Not clear,sputtering,25,,,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,Not clear,,Not clear,Not clear,Not clear,Not clear,,,n-i-p,PCBM/PEIE,Spiro-OMeTAD,,-,-,0.17,MoOx,IO:H/ITO/Au,Au,IO:H/ITO,100/10,110,,100,Yes,0,0,thermal evaporation,Forward,,1692,15.8,79.9,21.4,,,No,,,,,,,,,
Werner et al.,https://pubs.acs.org/doi/pdf/10.1021/acs.jpclett.5b02686,Area > 1 cm2 - ARF,19/12/2015,2015,SHJ,n-type,FZ,DSP,01-May,260 - 300,Front,Planar,Planar,-,-,-,,Si(p),,PECVD,,Si(n),PECVD,,,a-Si:H(i),PECVD,recombination,IZO,Not clear,sputtering,25,,,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,Not clear,,Not clear,Not clear,Not clear,Not clear,,,n-i-p,PCBM/PEIE,Spiro-OMeTAD,,-,-,0.17,MoOx,IO:H/ITO/Au,Au,IO:H/ITO,100/10,110,,100,Yes,0,0,thermal evaporation,Tracking,,,,,21.2,,,No,,,,,,,,,
Werner et al.,https://pubs.acs.org/doi/10.1021/acsenergylett.6b00254,NIR transparent pvk,19/12/2015,2015,SHJ,n-type,FZ,DSP,01-May,260 - 300,Front,Planar,Planar,-,-,-,,Si(p),,PECVD,,Si(n),PECVD,,,a-Si:H(i),PECVD,recombination,IZO,30,sputtering,25,,,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,Not clear,,Not clear,Not clear,Not clear,Not clear,,,n-i-p,PCBM/PEIE,Spiro-OMeTAD,,-,-,1.43,MoOx,IO:H/ITO/Au,Au,IO:H/ITO,100/10,110,,100,Yes,0,0,thermal evaporation,Reverse,,,,,19.7,,,No,,,,,,,,,
Werner et al.,https://pubs.acs.org/doi/10.1021/acsenergylett.6b00254,NIR transparent pvk,19/12/2015,2015,SHJ,n-type,FZ,DSP,01-May,260 - 300,Front,Planar,Planar,-,-,-,,Si(p),,PECVD,,Si(n),PECVD,,,a-Si:H(i),PECVD,recombination,IZO,30,sputtering,25,,,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,Not clear,,Not clear,Not clear,Not clear,Not clear,,,n-i-p,PCBM/PEIE,Spiro-OMeTAD,,-,-,1.43,MoOx,IO:H/ITO/Au,Au,IO:H/ITO,100/10,110,,100,Yes,0,0,thermal evaporation,Forward,,,,,20.6,,,No,,,,,,,,,
Werner et al.,https://pubs.acs.org/doi/10.1021/acsenergylett.6b00254,NIR transparent pvk,19/12/2015,2015,SHJ,n-type,FZ,DSP,01-May,260 - 300,Front,Planar,Planar,-,-,-,,Si(p),,PECVD,,Si(n),PECVD,,,a-Si:H(i),PECVD,recombination,IZO,30,sputtering,25,,,UV-Ozone,,,,,,a-Si:H(i),No,PECVD,Ag,ITO/Ag,Not clear,,Not clear,Not clear,Not clear,Not clear,,,n-i-p,PCBM/PEIE,Spiro-OMeTAD,,-,-,1.43,MoOx,IO:H/ITO/Au,Au,IO:H/ITO,100/10,110,,100,Yes,0,0,thermal evaporation,Tracking,,,,,20.5,,,No,,,,,,,,,
